Abaca, n., The Manila-hemp plant (Musa textilis); also
Vital, a., Being the seat of life; being that on which life depends; mortal.
Vital, a., Very necessary; highly important; essential.
Vital, a., Capable of living; in a state to live; viable.
Vital, n., A vital part; one of the vitals.
Vitis, n., A genus of plants including all true grapevines.
Vitoe, a., See Durukuli.
Vitta, n., One of the oil tubes in the fruit of umbelliferous plants.
Vitta, n., A band
Vivda, n., See Vifda.
Vives, n., A disease of brute animals
Vivid, a., True to the life; exhibiting the appearance of life or freshness; animated; spirited; bright; strong; intense; as
Vivid, a., Forming brilliant images
Vixen, n., A female fox.
Vixen, n., A cross
Vizir, n., See Vizier.
Vizor, n., See Visor.
Vocal, a., Of or pertaining to the voice or speech; having voice; endowed with utterance; full of voice
Vocal, a., Uttered or modulated by the voice; oral; as
Vocal, a., Of or pertaining to a vowel or voice sound; also
Vocal, a., Consisting of
Vocal, a., Of or pertaining to a vowel; having the character of a vowel; vowel.
Vocal, n., A vocal sound; specifically
Vocal, n., A man who has a right to vote in certain elections.
Vodka, n., A Russian drink distilled from rye.
Vogle, n., Same as Vugg.
Vogue, n., The way or fashion of people at any particular time; temporary mode
Vogue, n., Influence; power; sway.
Voice, n., Sound uttered by the mouth
Voice, n., Sound of the kind or quality heard in speech or song in the consonants b
Voice, n., The tone or sound emitted by anything.
Voice, n., The faculty or power of utterance; as
Voice, n., Language; words; speech; expression; signification of feeling or opinion.
Voice, n., Opinion or choice expressed; judgment; a vote.
Voice, n., Command; precept; -- now chiefly used in scriptural language.
Voice, n., One who speaks; a speaker.
Voice, n., A particular mode of inflecting or conjugating verbs
Voice, v. t., To give utterance or expression to; to utter; to publish; to announce; to divulge; as
Voice, v. t., To utter with sonant or vocal tone; to pronounce with a narrowed glottis and rapid vibrations of the vocal cords; to speak above a whisper.
Voice, v. t., To fit for producing the proper sounds; to regulate the tone of; as
Voice, v. t., To vote; to elect; to appoint.
Voice, v. i., To clamor; to cry out.
Volar, a., Of or pertaining to the palm of the hand or the sole of the foot.
Volge, n., The common sort of people; the crowd; the mob.
Volow, v. t., To baptize; -- used in contempt by the Reformers.
Volte, pl., of Volta
Volta, n., A turning; a time; -- chiefly used in phrases signifying that the part is to be repeated one
Volti, imperative., Turn
Volva, n., A saclike envelope of certain fungi
Vomer, n., A bone
Vomer, n., The pygostyle.
Vomit, n., To eject the contents of the stomach by the mouth; to puke; to spew.
Vomit, v. t., To throw up; to eject from the stomach through the mouth; to disgorge; to puke; to spew out; -- often followed by up or out.
Vomit, v. t., Hence
Vomit, n., Matter that is vomited; esp.
Vomit, n., That which excites vomiting; an emetic.
Voted, imp. & p. p., of Vote
Voter, n., One who votes; one who has a legal right to vote
Vouch, v. t., To call; to summon.
Vouch, v. t., To call upon to witness; to obtest.
Vouch, v. t., To warrant; to maintain by affirmations; to attest; to affirm; to avouch.
Vouch, v. t., To back; to support; to confirm; to establish.
Vouch, v. t., To call into court to warrant and defend
Vouch, v. i., To bear witness; to give testimony or full attestation.
Vouch, v. i., To assert; to aver; to declare.
Vouch, n., Warrant; attestation.
Vowed, imp. & p. p., of Vow
Vowel, n., A vocal
Vowel, a., Of or pertaining to a vowel; vocal.
Vower, n., One who makes a vow.
Voyol, n., See Viol
Voyol, n., The block through which a messenger passes.
Vulva, n., The external parts of the female genital organs; sometimes
Vulva, n., The orifice of the oviduct of an insect or other invertebrate.
Vying, , a. & n. from Vie.
Wacke, n., Alt. of Wacky
Wacky, n., A soft
Waded, imp. & p. p., of Wad
Waded, imp. & p. p., of Wade
Wader, n., One who
Wader, n., Any long-legged bird that wades in the water in search of food
Wafer, n., A thin cake made of flour and other ingredients.
Wafer, n., A thin cake or piece of bread (commonly unleavened
Wafer, n., An adhesive disk of dried paste
Wafer, v. t., To seal or close with a wafer.
Waged, imp. & p. p., of Wage
Wagel, n., See Waggel.
Wager, v. t., Something deposited
Wager, v. t., A contract by which two parties or more agree that a certain sum of money
Wager, v. t., That on which bets are laid; the subject of a bet.
Wager, v. t., To hazard on the issue of a contest
Wager, v. i., To make a bet; to lay a wager.
Wages, n., A compensation given to a hired person for services; price paid for labor; recompense; hire. See Wage
Wagon, n., A wheeled carriage; a vehicle on four wheels
Wagon, n., A freight car on a railway.
Wagon, n., A chariot
Wagon, n., The Dipper
Wagon, v. t., To transport in a wagon or wagons; as
Wagon, v. i., To wagon goods as a business; as
Waift, n., A waif.
Waist, n., That part of the human body which is immediately below the ribs or thorax; the small part of the body between the thorax and hips.
Waist, n., Hence
Waist, n., A garment
Waist, n., A girdle or belt for the waist.
Waive, v. t., A waif; a castaway.
Waive, v. t., A woman put out of the protection of the law. See Waive
Waive, v. t., To relinquish; to give up claim to; not to insist on or claim; to refuse; to forego.
Waive, v. t., To throw away; to cast off; to reject; to desert.
Waive, v. t., To throw away; to relinquish voluntarily
Waive, v. t., To desert; to abandon.
Waive, v. i., To turn aside; to recede.
Waked, imp. & p. p., of Wake
Waken, v. i., To wake; to cease to sleep; to be awakened.
Waken, v. t., To excite or rouse from sleep; to wake; to awake; to awaken.
Waken, v. t., To excite; to rouse; to move to action; to awaken.
Waker, n., One who wakes.
Walty, a., Liable to roll over; crank; as
Waltz, n., A dance performed by two persons in circular figures with a whirling motion; also
Waltz, v. i., To dance a waltz.
Walwe, v., To wallow.
Wandy, a., Long and flexible
Waned, imp. & p. p., of Wane
Waney, n., A sharp or uneven edge on a board that is cut from a log not perfectly squared
Wango, n., A boomerang.
Wanly, adv., In a wan
Wanty, n., A surcingle
Wanze, v. i., To wane; to wither.
Waped, a., Cast down; crushed by misery; dejected.
-ward, v. i., Alt. of -wards
Wares, n. pl., See 4th Ware.
Warly, a., Warlike.
Warre, a., Worse.
Warry, v. t., See Warye.
Warty, a., Having warts; full of warts; overgrow with warts; as
Warty, a., Of the nature of warts; as
Warye, v. t., To curse; to curse; to execrate; to condemn; also
Washy, a., Watery; damp; soft.
Washy, a., Lacking substance or strength; weak; thin; dilute; feeble; as
Washy, a., Not firm or hardy; liable to sweat profusely with labor; as
Waste, a., Desolate; devastated; stripped; bare; hence
Waste, a., Lying unused; unproductive; worthless; valueless; refuse; rejected; as
Waste, a., Lost for want of occupiers or use; superfluous.
Waste, a., To bring to ruin; to devastate; to desolate; to destroy.
Waste, a., To wear away by degrees; to impair gradually; to diminish by constant loss; to use up; to consume; to spend; to wear out.
Waste, a., To spend unnecessarily or carelessly; to employ prodigally; to expend without valuable result; to apply to useless purposes; to lavish vainly; to squander; to cause to be lost; to destroy by scattering or injury.
Waste, a., To damage
Waste, v. i., To be diminished; to lose bulk
Waste, v. i., To procure or sustain a reduction of flesh; -- said of a jockey in preparation for a race
Waste, v., The act of wasting
Waste, v., That which is wasted or desolate; a devastated
Waste, v., That which is of no value; worthless remnants; refuse. Specifically: Remnants of cops
Waste, v., Spoil
Waste, v., Old or abandoned workings
Watch, v. i., The act of watching; forbearance of sleep; vigil; wakeful
Watch, v. i., One who watches
Watch, v. i., The post or office of a watchman; also
Watch, v. i., The period of the night during which a person does duty as a sentinel
Watch, v. i., A small timepiece
Watch, n., An allotted portion of time
Watch, n., That part
Watch, v. i., To be awake; to be or continue without sleep; to wake; to keep vigil.
Watch, v. i., To be attentive or vigilant; to give heed; to be on the lookout; to keep guard; to act as sentinel.
Watch, v. i., To be expectant; to look with expectation; to wait; to seek opportunity.
Watch, v. i., To remain awake with any one as nurse or attendant; to attend on the sick during the night; as
Watch, v. i., To serve the purpose of a watchman by floating properly in its place; -- said of a buoy.
Watch, v. t., To give heed to; to observe the actions or motions of
Watch, v. t., To tend; to guard; to have in keeping.
Water, n., The fluid which descends from the clouds in rain
Water, n., A body of water
Water, n., Any liquid secretion
Water, n., A solution in water of a gaseous or readily volatile substance; as
Water, n., The limpidity and luster of a precious stone
Water, n., A wavy
Water, v. t., An addition to the shares representing the capital of a stock company so that the aggregate par value of the shares is increased while their value for investment is diminished
Water, v. t., To wet or supply with water; to moisten; to overflow with water; to irrigate; as
Water, v. t., To supply with water for drink; to cause or allow to drink; as
Water, v. t., To wet and calender
Water, n., To add water to (anything)
Water, v. i., To shed
Water, v. i., To get or take in water; as
Waved, imp. & p. p., of Wave
Waved, a., Exhibiting a wavelike form or outline; undulating; intended; wavy; as
Waved, a., Having a wavelike appearance; marked with wavelike lines of color; as
Waved, a., Having undulations like waves; -- said of one of the lines in heraldry which serve as outlines to the ordinaries
Waver, v. i., To play or move to and fro; to move one way and the other; hence
Waver, v. i., To be unsettled in opinion; to vacillate; to be undetermined; to fluctuate; as
Waver, v., A sapling left standing in a fallen wood.
Wavey, n., The snow goose.
Waxed, imp., of Wax
Waxed, p. p., of Wax
Waxen, , of Wax
Waxed, imp. & p. p., of Wax
Waxen, a., Made of wax.
Waxen, a., Covered with wax; waxed; as
Waxen, a., Resembling wax; waxy; hence
Wayed, a., Used to the way; broken.
-ways, , A suffix formed from way by the addition of the adverbial -s (see -wards). It is often used interchangeably with wise; as
Weald, n., A wood or forest; a wooded land or region; also
Weary, superl., Having the strength exhausted by toil or exertion; worn out in respect to strength
Weary, superl., Causing weariness; tiresome.
Weary, superl., Having one's patience
Weary, v. t., To reduce or exhaust the physical strength or endurance of; to tire; to fatigue; as
Weary, v. t., To make weary of anything; to exhaust the patience of
